title,doc
あい【藍】,タデアイやインドアイからえられる天然(てんねん）染料(せんりょう）。またその色。インジゴともいう。葉中のインジカンという物質(ぶっしつ）が加水分解(かすいぶんかい）後酸化(さんか）されると色素(しきそ）インジゴにかわる。◇日本では，徳島(とくしま）の吉野(よしの）川流域(りゅういき）が古くから特産(とくさん）地として知られたが，明治(めいじ）時代以後(いご）のインドアイの輸入(ゆにゅう）と合成(ごうせい）インジゴの出現(しゅつげん）でおとろえた。
アイスクリーム,クリームに，牛乳(ぎゅうにゅう）や砂糖(さとう）・香料(こうりょう）などをくわえてかきまぜ，空気をふくませてこおらせた氷菓子(がし）。乳固形分(にゅうこけいぶん）が15％（うち乳脂肪分(にゅうしぼうぶん）8％）以上(いじょう）をアイスクリームといい，それ以下(いか）のものをアイスミルク，ラクトアイスという。◇1550年代にイタリアで考案(こうあん）されたという。
アイスホッケー,氷の上で行うホッケー。選手(せんしゅ）の数は1チーム6人で，パックをスティックですべらせながら，相手ゴールに数多く入れたほうが勝ちとなる。冬季(とうき）オリンピック大会の種目(しゅもく）の1つで，日本では，1924（大正13）年にはじめて長野(ながの）県下諏訪(しもすわ）リンクで行われた。◇北ヨーロッパのバンデーというスポーツが，カナダで改良(かいりょう）されたものといわれる。
アイロン,衣服(いふく）などのしわをのばしたり，布(ぬの）に折(お）り目(め）をつけたりするために使われる。炭火アイロン，ガスアイロン，電気アイロンなどがあるが，ふつう電気アイロンをさす。電気アイロンは電気抵抗(ていこう）による発熱(はつねつ）作用を利用(りよう）している。発熱(はつねつ）体には，ニクロム線などの電熱(でんねつ）線を雲母(うんも）板で絶縁(ぜつえん）して用いる。最近(さいきん）はサーモスタットを使った温度調節器(ちょうせつき）つきのものが多い。◇アイロン内のタンクに入れた水が熱(ねっ）せられて蒸気(じょうき）が出るようになったものを，スチーム＝アイロンという。コードのいらないコードレス＝アイロンもある。◇髪(かみ）の毛(け）を縮(ちぢ）らせることもアイロンという。
あえん【亜鉛】,元素(げんそ）記号Zn，原子番号30，原子量(りょう）65．4の金属元素(きんぞくげんそ）。青みをおびた銀白色の金属(きんぞく）で，しめった空気中におくと，表面にじょうぶな被膜(ひまく）ができて内部の腐食(ふしょく）をふせげる。酸(さん）にとけて水素(すいそ）を発生する。セン亜鉛鉱(あえんこう）などの硫化鉱物(りゅうかこうぶつ）を焼(や）いて酸化亜鉛(さんかあえん）とし，炭素(たんそ）で還元(かんげん）＊したり，希硫酸(きりゅうさん）にとかして電気分解(ぶんかい）＊したりしてつくる。常温(じょうおん）ではややもろいが，100〜150℃に熱(ねっ）すると加工しやすくなり，電池の電極(でんきょく），トタン，黄銅(おうどう）・洋銀などの合金に用いられる。◇銅(どう）との合金である黄銅(おうどう）は，紀元(きげん）前から使われていた。 熱(ねっ）した濃(のう）アルカリ水溶液(すいようえき）と反応(はんのう）して水素(すいそ）を発生する。
あおいとり【青い鳥】,ベルギーの劇(げき）作家メーテルリンクの童話劇(げき）。1908年発表。クリスマスの前夜チルチルとミチルの兄妹が，夢(ゆめ）の中で幸福をもってくる青い鳥をさがして，思い出の国・未来(みらい）の国などをめぐり歩くがみつからない。目がさめてみると，自分たちが飼(か）っているハトが，さがしていた青い鳥と気づくが，ハトは飛(と）んでいってしまうという話。◇幸福は遠くにあるのではなく，身近なところにあるということを教えている。
あおむし【青虫】,（1）チョウやガの幼虫(ようちゅう）で，一般(いっぱん）に特別(とくべつ）な毛やとげのない緑色をした幼虫(ようちゅう）をさす。緑色でも大型(おおがた）のものはいも虫というが，明確(めいかく）な区別(くべつ）はできない。（2）モンシロチョウやスジグロシロチョウの幼虫(ようちゅう）のこと。
あかさび【赤さび】,鉄を湿気(しっけ）の多いところにおくと，赤い色のさびができる。これを赤さびという。成分(せいぶん）は，酸化(さんか）鉄と水酸化(すいさんか）鉄とがまじったもので，どんどん内部に広がる。
あかしお【赤潮】,海中のプランクトンが大量(たいりょう）に発生し，海の色が赤色や褐色(かっしょく）にかわる現象(げんしょう）。苦潮(にがしお）・厄水(やくみず）・くされ潮(じお）ともいう。英虞湾(あごわん）・伊勢湾(いせわん）・東京湾(とうきょうわん）・瀬戸内(せとない）海・三陸沖(さんりくおき）などで発生する。 赤潮(あかしお）になると，プランクトンが海水中の酸素(さんそ）を大量(たいりょう）に消費(しょうひ）するので，魚や貝が死んでしまい，水産(すいさん）物に大きな損害(そんがい）をあたえる。
あかとんぼ【赤とんぼ】,三木露風作詞(みきろふうさくし）・山田耕筰(やまだこうさく）作曲（1927年）の歌曲。五音音階を用いた，わずか8小節(しょうせつ）の曲であるが，おさない日の思い出をみごとに歌った名曲で，広く愛唱(あいしょう）されている。
