title,desc
アーケード,"アーケード（英語: arcade）は、柱で支えられる連続したアーチやヴォールトを用いた通路や歩道、または一続きのアーチが覆う歩道等の道路を指す言葉である。
"
アーチ,"アーチは、中央部が上方向に凸な曲線形状をした梁、もしくは上方向に凸な曲線形状そのものを言う。大拱門とも。
"
アーチェリー,アーチェリー (Archery) は弓で矢を射、標的を狙う射撃競技である。日本語では洋弓と呼ぶことで、和弓と区別することもある。
芸術家,芸術家（げいじゅつか）とは、自身の芸術活動を主な収入源とする人を指す。アーティスト、アーチスト（英: artist）とも呼ばれる。日本語の「芸術家」と英語の「artist」には、若干の含みの違いがある。
アート,アート（英語：Art）とは、芸術・美術など間接的に社会に影響を与え得るものである。
アーモンド,"アーモンド（英名: Almond）は、バラ科サクラ属の落葉高木。およびそれから採ったナッツのこと。和名はヘントウ（扁桃）、あるいはあめんどう。ハタンキョウ（巴旦杏）とも呼ばれるが、果肉を食用とするスモモとは別種である。
"
藍,藍（あい）
愛,"愛（あい、英: love、仏: amour）について解説する。
"
挨拶,挨拶（あいさつ、儐とも書く）は、新たに顔を合わせた際や別れ際に行われる、礼儀として行われる定型的な言葉や動作のことを指す。また、式典などで儀礼的に述べる言葉をいうこともある。また、日常生活には欠かせない人と人とが気持ちよく生活できる言葉でもある。
アイス,アイス (ice) は英語で氷の意。
アイスキャンディー,アイスキャンディーは、棒状の氷菓を指し、日本ではアイスバーとも呼ばれる。英語ではアイスポップ（ice pop）とするのが正しいが、アメリカ合衆国では登録商標のポップシクル（Popsicle）が一般名称化している。フィリピンなど東南アジアでアイスキャンディー（ice candy）と言えば、主に自家製氷菓を指し、原料液をアイスキャンディー専用の細長いビニール製の袋に流し込み、口を縛って冷凍するだけの簡素な物で、棒などは差さず袋からそのまま食する。
アイスクリーム,"アイスクリーム（英: ice cream）は、牛乳などを原料にして、冷やしながら空気を含むように攪拌してクリーム状とし、これを凍らせた菓子である。そのうち、柔らかいものは「ソフトクリーム」と呼ばれる。
"
アイスホッケー,"アイスホッケー（英: ice hockey）は、天然または人工氷のスケートリンク上で、スケート靴を履いて行う団体スポーツ競技である。陸上で行われるホッケーの形式を氷上に持ち込んだものである。2チームが長方形（楕円形）をしたリンクの中で、スティック (Ice hockey stick) （長い柄の先端部分に角度をつけ湾曲させた杖状の用具）を用いて硬質ゴムでできた扁平な円柱状の パックを打ち合い、相手方のゴール (Goal (ice hockey)) に入れることでその得点を競うゲームである。『氷上の格闘技』とも呼ばれている。漢字を当てて氷球（ひょうきゅう）と表記される。
"
愛知県,"愛知県（あいちけん）は、日本の中部地方・東海地方に属する県である。県庁所在地は名古屋市。
"
アイヌ,"アイヌは、北海道・樺太・千島列島およびカムチャツカ半島南部にまたがる地域に居住していた民族。母語はアイヌ語。
"
アイマスク,アイマスクとは、目の部分を覆うもの。目隠し（めかくし）とも呼ばれる。
アイロン,アイロンとは、熱と自重により衣類のしわをのばす、こて状の道具をいう。古くは炭火を熱源としていたが、現代では電気によるものが一般的である。近代では衣類を高熱で殺菌する効果も認知されている。
亜鉛,"亜鉛（あえん、英: zinc、羅: zincum）は原子番号30の金属元素。元素記号は Zn。亜鉛族元素の一つ。安定な結晶構造は、六方最密充填構造 (HCP) の金属。必須ミネラル（無機質）16種の一つ。
"
青,"青（あお、靑、蒼、碧）は基本色名のひとつで、晴れた日の海や瑠璃のような色の総称である。青は英語のblue、外来語のブルーに相当する。寒色のひとつ。また、光の三原色のひとつも青と呼ばれる。青色（セイショク、あおいろ）は同義語。
"
青い鳥,『青い鳥』（あおいとり、フランス語：L'Oiseau bleu）は、モーリス・メーテルリンク作の童話劇。1908年発表。5幕10場。作品の主題は「死と生命の意味」。
アオカビ,アオカビ（Penicillium）はアオカビ属（ペニシリウム属）に属するカビの総称で、もっとも普遍的に見られる不完全菌の一つである。胞子の色が肉眼で青みを帯びた水色であることからその名がある。ただし、白や緑がかった色のものも見られ、必ずしもすべてのアオカビ属（Penicillium属）のカビが青いわけではない。
青竹,"青竹（あおたけ、あおだけ）
"
青菜,青菜
あおば,あおばとは「初夏に芽吹く若葉」の意味をもつ名詞。青葉、アオバとも。
アオムシ,アオムシ（青虫）は、チョウ目（鱗翅目、チョウやガ）の幼虫のうち、長い毛で体を覆われておらず、緑色のもの。緑色でないものを含めイモムシ（芋虫）といい、長い毛で体を覆われているものをケムシ（毛虫）という。これらは大まかな区分であり、明確な定義があるわけではない。
青森県,"青森県（あおもりけん）は、日本の本州最北端に位置する県。県庁所在地は青森市である。県の人口は全国31位、面積は全国8位。令制国の陸奥国（むつのくに、りくおうのくに）で構成されている。
"
垢,垢（あか）は、角質化する多層上皮を持つ脊椎動物の表皮の古い角質が、新しい角質と交代して剥がれ落ちたものと、皮膚分泌物が交じり合ったもの。
