title,doc
エンマゴチ,サンゴ礁域で見られる大型のコチで、八重山諸島などでときどき見られる。和名は近年つけられたもので英名はrock flathead。この仲間は似たようなものが何種類かいるが国内では超大型は本種のみなので、まちがえることはないだろう。
ゲンジボタル,お尻に発光部をもち、オス、メスともに光る。この光は熱を出さないすばらしいエネルギーである。ホタルはこの光をたよりにコミュニケーションを行なう。幼虫はきれいな流れに生息し、カワニナを食べる。ヘイケボタルは田などの止水にも生息し、ゲンジボタルより小型で、短い間隔で光る。ホタルの仲間にはオバボタルなど発光しないものも多い。
ザンベジキリン,大型だが、つのまでの高さは最大で5.7メートルまで。キリンは初めから終わりまで、ずっと立ったままで出産する。そのため、生まれてくる子は約2メートルの高さから、地上に落とされることになる。しかし、長い体が弓なりにそって落ちるので、落下のショックは少ない。
ズワイガニ,おもに水深200～600メートルのやわらかい泥でおおわれた海底にすむ。歩脚（ほきゃく）が細長いことから、細い木の枝を表す「楚（すわえ）」がなまり「ズワイガニ」と名づけられた。はじめは雌雄ともほぼ同じ大きさで成長するが、ある時期から成長に差が生じ、オスはメスに比べ、約2倍の甲幅となる。大きなオスをズワイガニとよび、メスはセコガニ 、セイコガニ、コウバコガニなどとよぶ。北陸地方で「越前がに」、山陰地方では「松葉がに」とよばれる。
センチコガネ,動物の糞（ふん）を食べるコガネムシの仲間。土中に糞をためてそこに産卵する。普通銅色のものが多いが、紫や青みをおびたものもいる。イヌの糞などにもくるので、市街地でも見られる。
ゾウリムシ,ゾウリムシ類は細長いぞうりの形をしている。繊毛虫（せんもうちゅう）類の細胞表面には繊毛とよばれる細かい毛が生えていて、それを動かして移動する。口の周りにはえさをとるための特殊な繊毛があり、それを使って水中の細菌などの細かい粒子をろ過して食べる。下水が流れこんでいる川や、有機物が豊富でヨシ原が発達するような淡水にすむ。ゾウリムシ類にはクロレラが共生していて緑色に見える種類もある。クロレラが光合成をしてつくった栄養をゾウリムシが利用し、ゾウリムシの排泄物(はいせつぶつ）がクロレラの栄養となる。写真はParamecium属の一種（しゅ）。
チーター,動物界のスピード記録保持者。最高時速は110キロメートルほどだが、最長でも500メートルほどしか走れない。頭が小さく、体全体がスマートで、走るのに適している。つめはほかのネコのようには引っこまず、木登りはへた。子は黒灰色で、ハイエナに似たたてがみがある。
インドタテガミヤマアラシ,夜行性。地中に大きな町のような巣をつくり、群れですむ。嗅覚はするどい。敵などが近づくと針を立て、シューシューと音を立てて、後ろ向きにつっかかる。針先がかぎ状になっていて、刺さるととれなくなり、猛獣さえも死ぬ場合がある。樹皮や穀物などを食べる。
ウラニアツバメガ,たいへん美しい種（しゅ）で、その姿はガというよりアゲハチョウそのものである。飛び方はアゲハより速くジグザグに飛ぶが、習性はまさにアゲハで、日中活動し、湿った地面で吸水したり、花を訪れることもある。低地から山地まで、どこででも見られる普通種で、ときに大集団をなして海を渡るという特筆すべき習性ももつ。
ウラナミアカシジミ,裏面にさざ波模様のある美しいシジミチョウ。夕方、木のこずえを活発に飛翔する。手入れの行き届いた平地や低山地の雑木林に多い。以前は東京郊外の雑木林にきわめて普通に見られたが、最近は雑木林が放置され、なくなったりして少なくなった。食樹（しょくじゅ）はブナ科のクヌギ、アベマキなど。
ギンヤンマ,最も親しまれている形のよいヤンマ。むかしの少年たちのあこがれのトンボである。羽化は春から夏の終わりまで長くつづき、成虫も春から秋まで見られる。平地の暑い太陽の照りつける池や休耕田（きゅうこうでん）で発生する。成熟したメスは羽がかっ色に色づく。産卵はオスがメスの胸部をつかんだままつながって行なう。よく似た種（しゅ）にクロスジギンヤンマがある。
フクロギツネ,毛は羊毛のように厚く、毛皮獣として重宝された。背は灰黒色、腹は灰白色。尾は太く、尾の先には毛がなく、物に巻きつける。樹上で生活をし、木のうろに巣をつくるが、地面の穴や軒下を利用して巣にすることもある。夜行性で、子育てのとき以外は単独で生活。
グリーンバシリスク,熱帯雨林の水辺の近くの樹上にすみ、半日かげを好む。地上におりることもあり、後肢だけで立ち上がって、かなり速く走ることができる。オスは成体になると、後頭部にとさかが二つできる。背中から尾にかけて大きなたてがみのようなうろこが発達する。メスや幼体にはない。体色はあざやかな緑色。おもに昆虫や小動物を食べる。
ゴホンヅノカブト,インドシナ半島を中心に分布する大型のカブトムシ。高原の竹林に生息し、タケの新芽を食べる。そのためか発生するのは新芽の出る雨期の終わりに限定される。前足は長く、細いタケの上もじょうずに歩く。装飾的な5本のつのは発達しすぎて、たたかいの武器としてはあまり役に立たない。
ジョウカイボン,山地にきわめて普通に見られる。ほかの昆虫をとらえて食べる肉食の甲虫である。いろいろな葉の上を歩き回っているのをよく見かける。昼も夜も活動し、灯火にもたくさん飛んできて、灯火に集まる昆虫を食べる。甲虫だが羽はあまりかたくなく、ホタルなどに近い仲間だ。
ジュゴン,尾びれはクジラに似て、マナティーの扇形とは異なる。眼は小さく、耳も小さな穴のみ。前足はひれ状で後ろ足は退化している。沿岸のアマモなどの海草を食べる。頭頂に気孔が二カ所あり、5～10分間隔で空気を吸いに水面に浮上する。授乳の姿から人魚伝説が生まれた。環境省のレッドリストの絶滅危惧Ⅰ類に指定されている。
ジュウシマツ,東南アジアにすむコシジロキンパラを、江戸時代に日本で改良した飼い鳥だといわれている。丈夫で飼いやすいので、人気があった。シロジュウシマツ、ボンテンジュウシマツ、ダイナゴンジュウシマツ、ミケジュウシマツなどの品種がある。またよく繁殖するので、初心者が飼育するのに向いていた。原種のコシジロキンパラは最近では沖縄県などで普通に見られるようになった。
ダルマエナガ,体型や色はベニマシコに似ているが、はるかに小さい。また、尾が長く、エナガにも似ているが、色は赤みがかったかっ色。くちばしは太く、インコ類に似る。中国、ロシア、朝鮮半島にすむ留鳥。繁殖期以外は、十数羽から百羽近い群れをつくる。川沿いのヤナギの林や林のふち、公園の林などにすむ。行動は活発で、群れで移動するときもすばやく動く。
ダテハゼ,温帯域に適応した種類。ニシキテッポウエビなどテッポウエビの仲間と共生する。エビの掘った巣穴に同居しているハゼは、外敵が近づくと尾びれをふるわせて信号を送り、エビといっしょに巣穴に逃げこむ見張りの役を果たしている。
