title,doc
ごま,ゴマ科の一年草。古代エジプト時代からさいばいされ、日本でも縄文時代後期にはさいばいされていました。ごまのひとつぶは小さくても、たんぱく質、脂肪、ビタミンなど、栄養価に富んでいます。ごまは昔から「食べる薬」として大事にされ、重要な栄養補給源でもありました。花が咲き終わってから、みぞの入った円柱状の果実の中に種ができます。これがごまで、品種により白ごま、黒ごま、黄ごま、茶ごまなどがあります。茶ごまはゴマ油にされます。「ごまをする」という格言は、人にへつらい、自分の利益をはかるたとえです。
そら豆,マメ科の一～二年草。昔から北アフリカ、西南アジアでさいばいされていましたが、日本では8世紀ごろからさいばいされ、現在では全国各地でさいばいされています。そら豆はみどり色のさやが空に向かって木の枝に実ることから、「空豆」と書きます。また、「蚕豆」とも書き、蚕（かいこ）を養殖している初夏にそら豆を食べたからとか、さやの形が蚕に似ているからといわれています。塩でゆでて食べる未熟豆と煮豆や甘納豆にする完熟豆があります。豆が大きい品種と小さい品種がありますがうす皮がむきやすいことから、最近では大きいほうが好まれています。
とまと,とまとは、新鮮なおいしさを味わうためにサラダに使ったり、とまとの味を生かして、形はくずれてもよいスープ、ソース、シチュー、煮込み料理などに使われます。とまとのにおいは、肉や魚のくさみをやわらげ、脂っこさをけす働きがあるので、肉類、いわし、卵などとよくあいます。トマト・ピューレ（とまとをくだき、うらごし濃縮したもの）、トマト・ペースト（ピューレをさらに濃縮したもの）、トマト・ケチャップ（ピューレに香辛料、塩、砂糖、食酢を加えたもの）、トマト・ジュースなどの加工品としても多く使われています。
ねぎ,ユリ科の多年草。食用や薬用として古くからさいばいされています。秋から春にかけて生長し、晩春に50cm以上の花茎を伸ばし、ネギ坊主をつけます。関東型と関西型があり、関東では特に白色の部分が好まれます。関西では九条ねぎのようにみどり色の葉も食べられています。全国でさいばいされているので、さまざまな品種がありますが、輸送の関係から、全国的に食べられている品種はかぎられています。最近は、葉を食べる万能ねぎやアサツキにも人気が出てきています。
ほんしめじ,キシメジ科のきのこ。アカマツとコナラのまじった森の中の地面にはえてきます。むかしから「かおりまつたけ味しめじ」といわれるように、とてもおいしいきのこです。ほんしめじはさいばいすることができないので、天然のものしかありません。天然のほんしめじが、スーパー、やおやさんなどに出回ることはほとんどありません。スーパー、やおやさんなどで、ほんしめじとして売られているものは「しろたもぎだけ」です。また、さいばいしたひらたけは「しめじ」という名前で売られています。
もも,バラ科サクラ属の果実。昔から中国では不老長寿の象徴とされ、日本でも魔よけの効力があるとされ、桃太郎の昔話ができました。また、ももの葉エキスは、あせもによいとされています。中国から伝わり、弥生時代の遺跡からももの種が出土しています。現在、日本でさいばいされている品種は明治時代初期に中国から伝わったもので、白桃（はくとう）、白鳳（はくほう）、大久保などがあります。同じころ、西洋から缶詰に使われる黄桃（おうとう）も伝わってきました。ももの近縁種には、ネクタリン、プラム（すもも）、ソルダム、プルーン、アプリコット（あんず）などがあります。
ようなし,バラ科ナシ属の果実。よう（洋）なしは日本とは種類が異なり、西洋なしともいわれています。最近、デザートとして人気が出てきている果物です。日本なしは歯ごたえがザラザラとしているので、「サンドペア」（砂なし）といわれていますが、ようなしはねっとりとした舌ざわりなので、「バターペア」といわれています。ようなしは木の枝についている状態で完熟することはなく、果皮がみどり色のころに収穫し、2～3週間ぐらい放置しておくと、黄色くなり、果肉がやわらかくなっておいしくなります。ようなしは収穫後に追熱することが大切です。
れんこん,スイレン科の「はす」という水草の地下茎（土の中にある茎）。花は白色とピンク色の2種類があり、白い花のほうがふしが短く、太いれんこんとなる。れんこんは穴があいていて、向こう側が見えるので、先の見通しがよい（これから先、悪いことがおこらない）ということで、おめでたい料理によく使われます。お正月のおせち料理にも入っています。れんこんは茎のほかにも、実の中にある種も食べられます。また、葉も料理をつつむのに使われます。すてるところのない有用な野菜です。
わさび,だいこんやきゃべつなどと同じアブラナ科で、多年草の野菜。日本の原産で、5月ごろに白い、小さなかわいい花を咲かせます。すりおろして料理に使う根のようなところは茎で、その下に白い細い根がはえています。すりおろしたわさびは特有のから味がありますが、花や葉も同様にから味（み）があります。わさびはさいばいがむずかしく、北側の斜面で、まわりに落葉樹の森があり、水がきれいなすずしいところでしか育たないといわれます。長野県の北アルプスのふもと、静岡県の伊豆の山々が二大産地です。
双眼鏡（そうがんきょう）,星空を観察するときに、双眼鏡があると、楽しみがふえます。たとえば月を双眼鏡で見てみると、もようがはっきりとわかります。見かけの大きな星団なら、いくつも星が集まっているようすを双眼鏡でも見ることができます。なによりも、目で直接見るときより、たくさんの星を見ることができます。双眼鏡のレンズは人間の目よりもはるかに大きいので、その分たくさんの光を集めることができます。すると、目では見つからないような暗い星まで、双眼鏡では見えるのです。都会の明るい夜空でも、双眼鏡を使って見ると、意外とたくさんの星が見えるのでびっくりするでしょう。双眼鏡を使うときのコツは、手ブレをおこさないようにすることです。手ブレをおこすと、星がよく見えなくなってしまいます。テーブルや手すり、車の屋根などに、双眼鏡をもった手の両ヒジをつくようにしたり、なにかによりかかったりすると、手ブレをおさえることができます。もっとよいのは、双眼鏡を三脚（さんきゃく）に取り付けることです。双眼鏡を三脚に取り付けるには、専用の部品があるので、お店に相談してみてください。なお、双眼鏡では、天体望遠鏡（てんたいぼうえんきょう）ほど、ものを大きくしてみることはできません。月のクレーターや、火星や木星のもようを見るには、天体望遠鏡が必要です。でも双眼鏡なら持ち運びするのにもべんりで、昼間はバードウォッチングなどにも使えるので、出かけるときにはぜひ双眼鏡を持って行ってください。おすすめは、レンズの大きさが4cmから7cmくらい、「倍率（ばいりつ）」が5倍から10倍くらいのもので、手に持ったときに重すぎないものがよいでしょう。注意：双眼鏡は、太陽がかんぜんにしずんでからお使いください。双眼鏡を太陽の方向へはぜったいに向けないでください。
