title,doc
インペグ屋,INSPECTORの略。レコーディングやライブで、ディレクターやプロデューサーの要望に応じて、スケジュールや報酬の管理を含めて、演奏ミュージシャンを斡旋・コーディネートする。多くのミュージシャンとのネットワークがあることや、レコード会社や原盤制作会社とのコネクションが必要なので、元ミュージシャンや元レコード会社ディレクター、元マネージャーなど、音楽業界出身者がほとんど。
占い師,タロットや星座、手相など、多種多様な道具と知識を用いて、人の運勢やことの吉凶を予想したり予言したりする。プロとアマチュアの境目が曖昧な職業であるが、いくつかの占術協会が存在し、そこに属することが占い師であるひとつの証明となる。収入には幅があり、生計として成り立っているのは、講演会やマスメディアへの露出などを行ったり、企業や個人の客を持つ一部の人だけである。
エンジニア,モノを作る技術者、技師。自動車のエンジンを例にとると、石油エネルギー燃焼の原理に基づいて、いろいろな材料を使い、いろいろな部品を組み合わせ、実験を繰り返して動力源になるエンジンを組み立てる。それだけではない。もし自動車が「エンジンで走る機械」のままでいたら、日本の自動車産業がここまで発展することはなかった。コストや安全性、快適性を求めてさまざまな技術が生み出され、改良されて現在の形になった。さらに、環境問題から、「ガソリン以外の動力で動く自動車」が求められ、最近は、電気や水素をエネルギー源にするエンジン開発の技術を生み出しているのもエンジニア。製造業による「モノづくり」で経済大国になった日本では、1960年代から80年代にかけて、エンジニアの存在は、経済を発達させ、社会を豊かにする原動力だった。機械、化学、金属など、あらゆる分野において、新しい技術から新しい製品がつくり出され、大量生産、大量供給の体制を作り上げてきた。しかし、近年、エンジニアをめぐる環境が変わってきた。大量生産の時代が変化し、市場や客の声を素早く製品に反映させる能力、企業や国という枠を超えて協力し合える能力、ITに関する能力などが必要とされる時代になった。理工系の大学で興味のある技術分野と出会い、技術系の企業や研究機関に就職するのが今でも主流だが、ハイテク企業のなかには、まったく異なる業種から人材を求めるところも出てきている。また、一定の経験を積んだうえで技術士の国家資格をとり、技術コンサルタントとして独立する人も多い。
オーケストラ団員,交響楽団に所属するクラシック演奏家のこと。ただし、交響楽団はそれほど多くの楽団員を募集しているわけではなく、たとえ音楽大学を出ても、交響楽団に入るのは簡単ではない。たとえば東京芸術大学の音楽科の、約400人の卒業生のうち、交響楽団に入るのは数名だといわれている。後は学校の音楽教師になったり、アルバイトをしたり家族の援助を受けながら、演奏家としての活動を続ける。
行政書士,個人や会社が、官公庁に提出しなければならない書類を代行して作成し、手続きをする。企業を設立するにあたって許可を求める書類をつくったり、飲食店の営業開始の申請書をつくる。また、個人同士や個人と会社が、土地や建物の貸し借りを行うとき、お互いの同意のもとに契約書を作成するような仕事もある。司法書士や弁護士などさまざまな分野とリンクする部分があるので、たとえば行政書士兼司法書士といったような開業の仕方をしている人も多い。知名度は高くないが、今後、ますます必要とされる職業で、事業を起こそうとする人とスタートから関わったり、会社の将来を見越し、今後、必要となってくる行政手続きをアドバイスするなどやりがいのある仕事だ。人のためになんとか困難を乗り越えようという気持ちを持てる人でなければ続けられない。国家資格を取得し、行政書士会に所属して開業する。専門学校や通信教育で資格取得を目指す人が多い。
グリーンコーディネーター,観葉植物の知識を持ち、観葉植物を使って、家庭や商業施設、飲食店や小売り店などの店、ホテル、オフィス、イベント会場などを演出するプロフェッショナル。グリーンコーディネーターに必要なものは、観葉植物の種類や栽培・管理方法に関する知識とノウハウをはじめ、インテリアやエクステリアのデザインセンス、植物と照明の関係、エコロジーと環境の知識など。
ゲームプランナー,コンピュータゲームの制作会社で、ゲームの企画立案から完成まで、あらゆる作業に関わる「司令塔」ともいえる重要なポジション。何をおいても必要なのは、面白いゲームを考え出す企画力。そして、それがなぜ面白いのかを会社に伝え、企画を実現させるための表現力もいる。当然、流行をとらえる力、マーケットにおける情報収集力も問われる。ゲームのシナリオづくりに深く関わるため、文章力も少なからず必要である。また、デザイナーやサウンドクリエーターなど、多くのエキスパートとの共同作業を円滑に進めるためのコーディネーターであり、彼らが気持ちよく仕事をするための雑用係でもあるのでコミュニケーション能力も必要とされる。なんといっても最大の魅力は、ゲームが産声をあげてから世に出るまでの一連の流れを目の当たりにできることだ。専門学校も数多くあるが、特に資格はいらない。コンピュータのプログラミングなどができる必要もない。ひとえにセンスが大切な職業である。
コーヒー焙煎の職人,おなじみのコーヒー色の豆は、青白い生豆をロースターにかけて煎ってできたもの。この焙煎（ばいせん）によって、コーヒーの命ともいえる風味と香りが生まれる。焙煎工房の職人は、豆の状態や気候条件などからロースターの温度を決め、焙煎していく。外側も内側も均一になるように煎るのが、職人の技。
サーカス団員,花形は空中ブランコ、人気者はピエロ。団員には誰でもなれるが、一芸に秀でるのは楽ではない。サーカスは各地を移動しながら公演する。その際に、接客係や簡単な照明などのアルバイトを募集する。そのアルバイトのなかで、ステージに立ちたいという人が、公演終了後の夜に練習を重ね、芸を覚えてステージに立っていく。
スーパーカー専門整備士,フェラーリ、ランボールギーニなど、おもにイタリアン・スーパーカーの修理・メンテナンス・車検などを行う。外車整備会社に勤めた後で独立するのが一般的。単に移動するだけではなく、「工芸品」のようなものなので、メンテナンスにもそれなりの気をつかう。自動車ということで基本的に構造は同じだが、フェラーリやランボールギーニと国産車・大量生産車の整備は少し違う。
