title,doc
イ（イグサ）,イは畳（たたみ）の原料として知られているが、自生するイの多くはとても使えそうにないほど短い。栽培されているイには、150センチメートルほどもある伸長型と根のきわの茎が分かれる分げつ型がある。これらの9割近くは畳表に使われ、残りは花ござなどになる。
ウンシュウミカン,日本では、およそ30種類のミカンが栽培される。秋から正月頃に食べるウンシュウミカンなどの早生種、2～4月頃に食べるハッサクなどの中生種、それ以降に食べるナツミカンなどの晩生種と大きく三つに分けられる。生産量はウンシュウミカンが一番多い。
エノコログサ,エノコログサは「狗の子草（いぬのこぐさ）」の意味で、その穂が子犬の尾に似ていることによる。関東ではネコジャラシといったほうがとおりがいいかもしれない。実際、猫はこの植物によくじゃれる。身近な植物だということが、名によく表れている。
オモダカ,水田や池に生える多年草。葉の下半分が二つに分かれているのが独特だ。仲間のアギナシもよく似ているが、葉がオモダカより細長く、分かれた葉の長さが上の部分より短い。ウリカワは丈が小さく、花はオモダカにそっくりだが葉は分かれていない。
ガマ,池や沼、川などの水辺でくし刺しのソーセージのように立っているのは、ガマだ。ひとめで姿がわかるのは果実の時期だが、花の時期も黄色の穂が目印になる。花は茎の先端が、お花で、その下の淡緑色の穂が、め花。葉は少し厚みがありよじれている。
ギシギシ,野原や空き地などにも生えるが、湿地で多く見かける。三角形の内花被片（ないかひへん）の中に種子がこぢんまりと入っていて、大柄な印象とはちがい繊細にデザインされている。仲間は何種類かあり、葉や内花被片の形で識別できる。
グラジオラス,グラジオラスは初夏に咲く印象が強いが、4～5月に開花する春咲きの品種もある。春咲き、夏咲きを合わせて約300種ほどの原種があり、アメリカなどで数千種類の品種が記録されている。別名にアヤメやショウブの文字がついているが、水辺には関係ない。
ゲンノショウコ,腹痛をたちまち直す民間薬として知られている。その効果から「現の証拠」という名がある。ほかに茶としても飲まれるが、葉が猛毒のトリカブトによく似ているので注意が必要だ。花の色には変化が多く、西日本では紅紫色、白や淡紅色のものは東日本に多い。
ゴマ,奈良時代から日本でも栽培されていたゴマは、現在でもいろいろと利用されて食卓にのぼっている。クロゴマ、シロゴマ、キンゴマと種類があり、種子をしぼればゴマ油、すったらゴマ和えと、その栄養価もさることながら風味も格別である。
ザクロ,6月中旬の夏が近づくころに花が咲く。ザクロは果実が成る上に花もきれいなので、庭木としてよく植えられている。果実の成らない観賞用の品種には、八重咲き（やえざき）のヤエザクロや白、黄、紅などの色の品種、小型のヒメザクロなどがある。
ジンチョウゲ,ジンチョウゲは、まだ寒さの残る早春に春を知らせるように芳香（ほうこう）をただよわせる。花には花びらはなく、がくが花びらのように見える。日本の庭や公園に植えられているものはお株なので果実はつけない。め株は、紅色でだ円形液果（えきか）を6月頃につける。
スミレ,スミレは人の眼につきやすい野原や土手などに咲いている。スミレの仲間はたくさんあるが、大きく分けると二つになる。地下茎がなくつけ根のところから花も葉も出るグループ、地下茎がありそこから分かれるグループ。スミレは前者だ。
ゼンマイ,山の湿ったところに生える。春先、若芽は綿状の毛におおわれていて、丸まっている。ぜんまいばねの名は、この形に似ていることからついた。葉には栄養葉と胞子葉があり、食べるのは栄養葉のほう。ゼンマイは、山菜の中でも人気のあるものの一つである。
ソメイヨシノ（サクラ）,全国各地で植えられていて、花見の時期にだれもが眼にする木として最もよく知られているサクラである。ソメイヨシノは、オオシマザクラとエドヒガンの雑種起源の園芸品種と考えられていて、明治初年頃に染井村から広がっていったのでこの名がある。
ダリア,鉢植えや花壇などでよく知られてはいるが、種類が多いためにどれがダリアかわからない人も多いだろう。大別すると、一重咲き、ポンポン咲き、カクタス咲きなど、花の形から約16種類に分けられる。さらに色や大きさのちがいで無数の品種が生まれている。
チンゲンサイ,明治初期に日本に導入された中国原産の野菜タイサイ（体菜）の1種。漢字では「青梗菜」と書く。葉柄の青軸のものが普通。白軸のものをパクチョイという。葉が杓子のような形からシャクシナとも呼ばれる。青物野菜として好まれ、炒め物や煮物、鍋物、漬物など広く利用される。
チューリップ,トルコが起源とされているが野生種はなく、世界的にはオランダの品種改良のものが一般化している。オランダの国花にもなっている。日本でも早咲種、中生咲種、遅咲種、原種などに大別され、さまざまな色や形のものが約700種栽培される。
チャノキ,チャノキは、古く中国から渡来した栽培植物だ。葉の種類は、大きく二つに分けられて、緑茶だけでなくちがう製法で紅茶の原料にもなる。日本で栽培されているものは、緑茶用に適している。花は黄色のおしべが美しく、鑑賞用に値するくらいよい。
ダイズ,記録に残る最も古い作物で中国では約五千年前から栽培されていた。現在はアメリカ、ブラジルなどで大規模に生産され、種子は脂肪源として世界的に重要。また、ダイズ油をとったあとの油かすは家畜の飼料となる。日本では豆腐、しょうゆ、味噌の原料となり、枝豆として未熟な豆をゆでて食べる。
ダイコン,ダイコンの起源は古く、エジプトでは古代から食べていたといわれる。日本へは、かなり古い時代に中国から伝わり、数多い品種がつくり出された。しかし、現在では小型化の傾向が見られ、流通しているもののほとんどはアオクビダイコンである。
タラノキ,山の道沿いや二次林などに普通に生える。枝や葉にはとげが多く、葉には両面に毛がある。若芽はタラノメとよばれる山菜。独特の香りがあり、天ぷらや和え物などにするとひじょうにおいしい。来年の収穫のために、二番芽は必ず残すようにする。
タマネギ,世界各国で栽培される主要野菜。食用部分は肥大した鱗茎の葉部。栽培の歴史は古く、古代エジプトではすでに一般的な食物として普及。その後ヨーロッパ全域に広がる。日本へは明治の初めにアメリカからもたらされ、現在は、世界有数の生産国。和洋中華を問わずあらゆる料理に使われる。本来は多年草であるが栽培上は1～2年草である。
タチツボスミレ,里や山で最も普通に見ることができるスミレ。どこにでもあるけれども、かわいらしさにかわりはない。小型のコタチツボスミレ、本州の日本海側に分布するツルタチツボスミレや伊豆七島に生える大型のシチトウスミレなど、変種がいくつかある。
タケニグサ,かつてブルドーザーで整地したようなうち捨てられた空き地や道ばたに生える。茎は白い粉がふいたようで、切ると有毒の黄汁が出てくる。2メートルほどに成長することもあり、あまりかわいらしさがない。和名の「竹似草」は、茎を竹に見立てたことからついた。
